gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,team,teamSaves_rolling,opponentSaves_rolling,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15
2024020076,True,DET,39,24,2,5,19,37,False,NSH,,,26.333333333333332,32.333333333333336,,,,
2024020076,False,NSH,24,39,5,2,37,19,False,DET,,,31.666666666666668,26.333333333333332,,,,
2024020077,False,DAL,31,24,1,4,20,30,False,EDM,21.2,30.0,25.666666666666668,28.0,,,,
2024020077,True,EDM,24,31,4,1,30,20,False,DAL,28.0,23.8,24.333333333333332,26.333333333333332,,,,
2024020078,False,FLA,26,49,3,4,45,23,False,VGK,21.6,22.4,20.333333333333332,25.0,,,,
2024020078,True,VGK,49,26,4,3,23,45,False,FLA,27.8,24.0,29.666666666666668,22.0,,,,
2024020079,False,TOR,29,35,4,1,34,25,False,NYR,,,26.666666666666668,27.333333333333332,,,,
2024020079,True,NYR,35,29,1,4,25,34,False,TOR,,,24.666666666666668,22.333333333333332,,,,
2024020080,False,NJD,37,31,6,5,26,31,False,WSH,,,24.666666666666668,23.333333333333332,,,,
2024020080,True,WSH,31,37,5,6,31,26,False,NJD,24.8,26.8,25.666666666666668,28.333333333333332,,,,
2024020081,True,MTL,36,24,4,3,21,33,False,NYI,,,28.333333333333332,33.0,,,,
2024020081,False,NYI,24,36,3,4,33,21,False,MTL,29.4,23.8,25.333333333333332,24.333333333333332,,,,
2024020082,False,PHI,32,26,3,0,26,29,False,VAN,,,26.0,26.666666666666668,,,,
2024020082,True,VAN,26,32,0,3,29,26,False,PHI,,,25.333333333333332,28.333333333333332,,,,
2024020083,False,CBJ,34,24,3,1,23,31,False,MIN,,,30.0,27.666666666666668,,,,
2024020083,True,MIN,24,34,1,3,31,23,False,CBJ,,,21.333333333333332,23.666666666666668,,,,
2024020084,True,CAR,19,40,4,3,37,15,False,STL,27.2,26.4,27.0,25.0,,,,
2024020084,False,STL,40,19,3,4,15,37,True,CAR,,,26.333333333333332,30.0,,,,
